car_ID,symboling,CarName,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,fueltype_gas,aspiration_std,enginelocation_front,fuelsystem_injection
1,3,alfa-romero giulia,2,0,0,88.6,168.8,64.1,48.8,2548,0,4,130,3.47,2.68,9.0,111,5000,21,27,13495.0,alfa-romero,1,1,1,1
2,3,alfa-romero stelvio,2,0,0,88.6,168.8,64.1,48.8,2548,0,4,130,3.47,2.68,9.0,111,5000,21,27,16500.0,alfa-romero,1,1,1,1
3,1,alfa-romero Quadrifoglio,2,1,0,94.5,171.2,65.5,52.4,2823,1,6,152,2.68,3.47,9.0,154,5000,19,26,16500.0,alfa-romero,1,1,1,1
4,2,audi 100 ls,4,2,1,99.8,176.6,66.2,54.3,2337,1,4,109,3.19,3.4,10.0,102,5500,24,30,13950.0,audi,1,1,1,1
5,2,audi 100ls,4,2,2,99.4,176.6,66.4,54.3,2824,1,5,136,3.19,3.4,8.0,115,5500,18,22,17450.0,audi,1,1,1,1
6,2,audi fox,2,2,1,99.8,177.3,66.3,53.1,2507,1,5,136,3.19,3.4,8.5,110,5500,19,25,15250.0,audi,1,1,1,1
7,1,audi 100ls,4,2,1,105.8,192.7,71.4,55.7,2844,1,5,136,3.19,3.4,8.5,110,5500,19,25,17710.0,audi,1,1,1,1
8,1,audi 5000,4,3,1,105.8,192.7,71.4,55.7,2954,1,5,136,3.19,3.4,8.5,110,5500,19,25,18920.0,audi,1,1,1,1
9,1,audi 4000,4,2,1,105.8,192.7,71.4,55.9,3086,1,5,131,3.13,3.4,8.3,140,5500,17,20,23875.0,audi,1,0,1,1
10,0,audi 5000s (diesel),2,1,2,99.5,178.2,67.9,52.0,3053,1,5,131,3.13,3.4,7.0,160,5500,16,22,17859.167,audi,1,0,1,1
11,2,bmw 320i,2,2,0,101.2,176.8,64.8,54.3,2395,1,4,108,3.5,2.8,8.8,101,5800,23,29,16430.0,bmw,1,1,1,1
12,0,bmw 320i,4,2,0,101.2,176.8,64.8,54.3,2395,1,4,108,3.5,2.8,8.8,101,5800,23,29,16925.0,bmw,1,1,1,1
13,0,bmw x1,2,2,0,101.2,176.8,64.8,54.3,2710,1,6,164,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,1,1,1,1
14,0,bmw x3,4,2,0,101.2,176.8,64.8,54.3,2765,1,6,164,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,1,1,1,1
15,1,bmw z4,4,2,0,103.5,189.0,66.9,55.7,3055,1,6,164,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,1,1,1,1
16,0,bmw x4,4,2,0,103.5,189.0,66.9,55.7,3230,1,6,209,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,1,1,1,1
17,0,bmw x5,2,2,0,103.5,193.8,67.9,53.7,3380,1,6,209,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,1,1,1,1
18,0,bmw x3,4,2,0,110.0,197.0,70.9,56.3,3505,1,6,209,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,1,1,1,1
19,2,chevrolet impala,2,1,1,88.4,141.1,60.3,53.2,1488,2,3,61,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet,1,1,1,0
20,1,chevrolet monte carlo,2,1,1,94.5,155.9,63.6,52.0,1874,1,4,90,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet,1,1,1,0
21,0,chevrolet vega 2300,4,2,1,94.5,158.8,63.6,52.0,1909,1,4,90,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet,1,1,1,0
22,1,dodge rampage,2,1,1,93.7,157.3,63.8,50.8,1876,1,4,90,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge,1,1,1,0
23,1,dodge challenger se,2,1,1,93.7,157.3,63.8,50.8,1876,1,4,90,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge,1,1,1,0
24,1,dodge d200,2,1,1,93.7,157.3,63.8,50.8,2128,1,4,98,3.03,3.39,7.6,102,5500,24,30,7957.0,dodge,1,0,1,1
25,1,dodge monaco (sw),4,1,1,93.7,157.3,63.8,50.6,1967,1,4,90,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge,1,1,1,0
26,1,dodge colt hardtop,4,2,1,93.7,157.3,63.8,50.6,1989,1,4,90,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge,1,1,1,0
27,1,dodge colt (sw),4,2,1,93.7,157.3,63.8,50.6,1989,1,4,90,2.97,3.23,9.4,68,5500,31,38,7609.0,dodge,1,1,1,0
28,1,dodge coronet custom,2,2,1,93.7,157.3,63.8,50.6,2191,1,4,98,3.03,3.39,7.6,102,5500,24,30,8558.0,dodge,1,0,1,1
29,-1,dodge dart custom,4,3,1,103.3,174.6,64.6,59.8,2535,1,4,122,3.34,3.46,8.5,88,5000,24,30,8921.0,dodge,1,1,1,0
30,3,dodge coronet custom (sw),2,1,1,95.9,173.2,66.3,50.2,2811,1,4,156,3.6,3.9,7.0,145,5000,19,24,12964.0,dodge,1,0,1,1
31,2,honda civic,2,1,1,86.6,144.6,63.9,50.8,1713,1,4,92,2.91,3.41,9.6,58,4800,49,54,6479.0,honda,1,1,1,0
32,2,honda civic cvcc,2,1,1,86.6,144.6,63.9,50.8,1819,1,4,92,2.91,3.41,9.2,76,6000,31,38,6855.0,honda,1,1,1,0
33,1,honda civic,2,1,1,93.7,150.0,64.0,52.6,1837,1,4,79,2.91,3.07,10.1,60,5500,38,42,5399.0,honda,1,1,1,0
34,1,honda accord cvcc,2,1,1,93.7,150.0,64.0,52.6,1940,1,4,92,2.91,3.41,9.2,76,6000,30,34,6529.0,honda,1,1,1,0
